Date and Time     	Excel-Time    	1-Laser-	2-Laser-	3-Sum   	4-TC1  	5-Tair 	6-rH%  
11.04.16 18:42:04	  42471,779213	-1260,9797	-1328,5130	-2589,4927	19,8891	19,9031	20,2200	50,2245
11.04.16 18:47:20	  42471,782870	-1262,5568	-1328,9539	-2591,5106	19,8865	19,9052	20,2100	50,1831
11.04.16 18:52:36	  42471,786528	-1261,5137	-1330,1708	-2591,6845	19,8766	19,9133	20,1900	50,2643
11.04.16 18:57:52	  42471,790185	-1265,6736	-1330,6985	-2596,3721	19,8840	19,9109	20,1700	50,1817
11.04.16 19:03:09	  42471,793854	-1266,0834	-1334,0016	-2600,0850	19,8806	19,9143	20,1600	49,8674
11.04.16 19:08:25	  42471,797512	-1266,8036	-1332,7226	-2599,5262	19,8809	19,9118	20,1500	50,2082
11.04.16 19:13:41	  42471,801169	-1271,2491	-1336,3858	-2607,6349	19,8800	19,9104	20,1300	49,7984
11.04.16 19:18:57	  42471,804826	-1272,1928	-1339,2915	-2611,4844	19,8800	19,9145	20,1100	49,9614
11.04.16 19:24:14	  42471,808495	-1272,5840	-1337,9877	-2610,5717	19,8150	19,9188	20,0800	49,9195
11.04.16 19:29:30	  42471,812153	-1276,5514	-1341,8061	-2618,3575	19,8204	19,8522	20,0700	49,7421
11.04.16 19:34:46	  42471,815810	-1278,9853	-1343,2962	-2622,2815	19,8177	19,8451	20,0500	49,7959
11.04.16 19:40:02	  42471,819468	-1278,2899	-1345,9163	-2624,2062	19,8241	19,8558	20,0400	49,8908
11.04.16 19:45:18	  42471,823125	-1279,8607	-1346,1709	-2626,0316	19,8177	19,8518	20,0200	49,5365
11.04.16 19:50:35	  42471,826794	-1283,5612	-1348,2633	-2631,8245	19,8198	19,8496	20,0000	49,5087
11.04.16 19:55:51	  42471,830451	-1285,8336	-1350,0204	-2635,8540	19,8176	19,8536	20,0000	49,5631
11.04.16 20:01:07	  42471,834109	-1286,5787	-1351,6222	-2638,2009	19,7486	19,8506	19,9700	49,5757
11.04.16 20:06:23	  42471,837766	-1288,2364	-1353,0130	-2641,2494	19,7546	19,7962	19,9500	49,3306
11.04.16 20:11:40	  42471,841435	-1292,1356	-1354,5342	-2646,6697	19,7539	19,7862	19,9400	49,2624
11.04.16 20:16:56	  42471,845093	-1293,4767	-1357,6945	-2651,1711	19,7560	19,7827	19,9300	49,4658
11.04.16 20:22:12	  42471,848750	-1294,7433	-1358,1974	-2652,9407	19,7572	19,7878	19,9200	49,4519
11.04.16 20:27:28	  42471,852407	-1295,9664	-1359,9483	-2655,9147	19,7530	19,7884	19,9000	49,4241
11.04.16 20:32:45	  42471,856076	-1297,3510	-1361,1590	-2658,5100	19,6929	19,7848	19,8700	49,0842
11.04.16 20:38:01	  42471,859734	-1297,7421	-1363,0030	-2660,7451	19,6878	19,7195	19,8600	49,0161
11.04.16 20:43:17	  42471,863391	-1299,2757	-1364,2944	-2663,5701	19,6890	19,7788	19,8500	49,1108
11.04.16 20:48:33	  42471,867049	-1299,9525	-1365,0830	-2665,0354	19,6921	19,7211	19,8400	49,2053
11.04.16 20:53:49	  42471,870706	-1299,9090	-1366,9208	-2666,8298	19,6867	19,7084	19,8300	48,8663
11.04.16 20:59:06	  42471,874375	-1299,9525	-1368,2122	-2668,1647	19,6917	19,7112	19,8100	48,6490
11.04.16 21:04:22	  42471,878032	-1301,1942	-1368,1936	-2669,3878	19,6919	19,7113	19,8000	48,6624
11.04.16 21:09:38	  42471,881690	-1302,1069	-1369,4478	-2671,5547	19,6918	19,7102	19,7700	48,4587
11.04.16 21:14:54	  42471,885347	-1302,6781	-1369,6030	-2672,2811	19,6923	19,7069	19,7600	48,2824
11.04.16 21:20:11	  42471,889016	-1302,7899	-1370,1990	-2672,9889	19,6311	19,7068	19,7400	48,2281
11.04.16 21:25:27	  42471,892674	-1302,2125	-1371,0434	-2673,2559	19,6330	19,6343	19,7300	48,1874
11.04.16 21:30:43	  42471,896331	-1301,4674	-1370,9068	-2672,3742	19,6265	19,6348	19,7000	48,1466
11.04.16 21:35:59	  42471,899988	-1302,8830	-1370,9565	-2673,8395	19,6292	19,6354	19,6800	48,0382
11.04.16 21:41:16	  42471,903657	-1304,2366	-1370,9689	-2675,2055	19,6282	19,6393	19,6600	47,8757
11.04.16 21:46:32	  42471,907315	-1302,8396	-1371,0621	-2673,9016	19,5652	19,5700	19,6400	47,7404
11.04.16 21:51:48	  42471,910972	-1304,1434	-1371,4967	-2675,6401	19,5667	19,5728	19,6200	47,5781
11.04.16 21:57:04	  42471,914630	-1304,2490	-1371,5898	-2675,8388	19,5616	19,5715	19,5900	47,5107
11.04.16 22:02:20	  42471,918287	-1304,2428	-1371,1055	-2675,3483	19,5693	19,5670	19,5700	47,4026
11.04.16 22:07:37	  42471,921956	-1304,1745	-1372,1672	-2676,3417	19,5716	19,5666	19,5500	47,2947
11.04.16 22:12:53	  42471,925613	-1304,1372	-1371,3787	-2675,5159	19,5055	19,4980	19,5300	47,2138
11.04.16 22:18:09	  42471,929271	-1304,5905	-1372,0244	-2676,6149	19,5012	19,5045	19,5100	47,2410
11.04.16 22:23:25	  42471,932928	-1303,7150	-1371,0000	-2674,7150	19,5057	19,4920	19,5000	47,0926
